------- Teste Iniciado -------
Tempo de Análise: 00:00:00.0000208
1044,(-12.90, 1.08, -1.75),(-15.85, 1.48, -1.5),00:00:00.0000166
1045,(-12.89, 1.08, -1.70),(-15.88, 1.48, -1.4),00:00:00.0000302
1046,(-12.88, 1.08, -1.64),(-15.91, 1.48, -1.3),00:00:00.0000158
1048,(-12.87, 1.08, -1.61),(-15.96, 1.49, -1.2),00:00:00.0000170
1049,(-12.87, 1.08, -1.60),(-15.99, 1.49, -1.1),00:00:00.0000333
1050,(-12.87, 1.08, -1.60),(-16.01, 1.50, -1.0),00:00:00.0000150
1051,(-12.87, 1.08, -1.60),(-16.03, 1.50, -0.9),00:00:00.0000139
1053,(-12.87, 1.08, -1.60),(-16.08, 1.51, -0.8),00:00:00.0000418
1054,(-12.87, 1.08, -1.60),(-16.10, 1.51, -0.7),00:00:00.0000139
1055,(-12.87, 1.08, -1.60),(-16.13, 1.50, -0.6),00:00:00.0000160
1056,(-12.87, 1.08, -1.60),(-16.16, 1.50, -0.5),00:00:00.0000150
1057,(-12.87, 1.08, -1.60),(-16.20, 1.49, -0.5),00:00:00.0000159
1059,(-12.87, 1.08, -1.60),(-16.30, 1.49, -0.3),00:00:00.0000144
1060,(-12.87, 1.08, -1.60),(-16.36, 1.49, -0.2),00:00:00.0000160
1061,(-12.87, 1.08, -1.60),(-16.42, 1.50, -0.1),00:00:00.0000161
1062,(-12.87, 1.08, -1.60),(-16.49, 1.51, -0.1),00:00:00.0000201
1063,(-12.87, 1.08, -1.60),(-16.56, 1.52, -0.0),00:00:00.0000153
1065,(-12.87, 1.08, -1.60),(-16.70, 1.53, 0.13),00:00:00.0000147
1066,(-12.87, 1.08, -1.60),(-16.76, 1.54, 0.20),00:00:00.0000163
1067,(-12.87, 1.08, -1.60),(-16.83, 1.54, 0.28),00:00:00.0000149
1068,(-12.87, 1.08, -1.60),(-16.89, 1.54, 0.36),00:00:00.0000350
1070,(-12.87, 1.08, -1.60),(-17.00, 1.54, 0.52),00:00:00.0000140
1071,(-12.87, 1.08, -1.60),(-17.04, 1.53, 0.60),00:00:00.0000152
1072,(-12.87, 1.08, -1.59),(-17.09, 1.53, 0.68),00:00:00.0000313
1073,(-12.85, 1.08, -1.58),(-17.14, 1.53, 0.76),00:00:00.0000143
1074,(-12.81, 1.08, -1.55),(-17.18, 1.53, 0.84),00:00:00.0000482
1076,(-12.73, 1.08, -1.47),(-17.28, 1.54, 1.00),00:00:00.0000200
1078,(-12.64, 1.08, -1.38),(-17.37, 1.55, 1.17),00:00:00.0000138
1079,(-12.56, 1.08, -1.31),(-17.42, 1.56, 1.25),00:00:00.0000166
1080,(-12.49, 1.08, -1.25),(-17.47, 1.56, 1.34),00:00:00.0000142
1081,(-12.41, 1.08, -1.17),(-17.52, 1.56, 1.43),00:00:00.0000304
1082,(-12.33, 1.08, -1.09),(-17.58, 1.55, 1.52),00:00:00.0000143
1084,(-12.26, 1.08, -1.03),(-17.69, 1.54, 1.70),00:00:00.0000140
1085,(-12.18, 1.08, -0.95),(-17.75, 1.53, 1.78),00:00:00.0000193
1086,(-12.11, 1.08, -0.88),(-17.82, 1.52, 1.87),00:00:00.0000155
1087,(-12.05, 1.08, -0.82),(-17.90, 1.51, 1.96),00:00:00.0000147
1088,(-11.98, 1.08, -0.76),(-17.98, 1.51, 2.05),00:00:00.0000149
1089,(-11.92, 1.08, -0.70),(-18.07, 1.51, 2.14),00:00:00.0000152
1090,(-11.86, 1.08, -0.65),(-18.17, 1.51, 2.23),00:00:00.0000150
1091,(-11.79, 1.08, -0.58),(-18.27, 1.51, 2.31),00:00:00.0000197
1092,(-11.71, 1.08, -0.50),(-18.37, 1.52, 2.40),00:00:00.0000162
1093,(-11.64, 1.08, -0.43),(-18.47, 1.52, 2.48),00:00:00.0000154
1095,(-11.57, 1.08, -0.36),(-18.65, 1.52, 2.64),00:00:00.0000704
1096,(-11.49, 1.08, -0.28),(-18.74, 1.52, 2.71),00:00:00.0000398
1097,(-11.42, 1.08, -0.22),(-18.82, 1.51, 2.80),00:00:00.0000325
1098,(-11.35, 1.08, -0.16),(-18.90, 1.51, 2.88),00:00:00.0000528
